# PRESION EN LA SALIDA MITRAL - SR
# Modelo 2D de auricula izquierda con orejuela rectangular
# (geometria adaptada de Qureshi et al., Computing in Cardiology 2021;48)
#
# Presion impuesta en: el parche de salida MV
# Condicion: ritmo sinusal (SR)
# Periodo T = 0.800 s (75 lpm) | muestreo dt = 0.002 s | 401 puntos
# t = 0 s -> cierre de la valvula mitral (inicio de la sistole ventricular)
# Senal periodica: p(t+T) = p(t),  p(0) = p(T)
#
# Columna 1: tiempo   [s]
# Columna 2: presion  [Pa]        (1 mmHg = 133.322368 Pa)
#
# media =   1297.009 Pa =  9.728 mmHg
# min   =   1025.375 Pa =  7.691 mmHg
# max   =   1666.530 Pa = 12.500 mmHg
#
#      t[s]           p[Pa]
    0.0000       1266.562496
    0.0020       1286.494190
    0.0040       1306.025917
    0.0060       1324.757710
    0.0080       1342.289601
    0.0100       1358.221624
    0.0120       1372.153811
    0.0140       1383.686196
    0.0160       1392.418811
    0.0180       1397.951690
    0.0200       1399.884864
    0.0220       1399.082056
    0.0240       1396.772476
    0.0260       1393.104387
    0.0280       1388.226053
    0.0300       1382.285737
    0.0320       1375.431703
    0.0340       1367.812215
    0.0360       1359.575536
    0.0380       1350.869930
    0.0400       1341.843661
    0.0420       1332.644992
    0.0440       1323.422187
    0.0460       1314.323510
    0.0480       1305.497225
    0.0500       1297.091594
    0.0520       1289.254882
    0.0540       1282.135353
    0.0560       1275.881270
    0.0580       1270.640896
    0.0600       1266.562496
    0.0620       1263.123273
    0.0640       1259.706014
    0.0660       1256.317362
    0.0680       1252.963955
    0.0700       1249.652435
    0.0720       1246.389443
    0.0740       1243.181618
    0.0760       1240.035602
    0.0780       1236.958034
    0.0800       1233.955557
    0.0820       1231.034809
    0.0840       1228.202433
    0.0860       1225.465067
    0.0880       1222.829354
    0.0900       1220.301933
    0.0920       1217.889445
    0.0940       1215.598531
    0.0960       1213.435831
    0.0980       1211.407986
    0.1000       1209.521636
    0.1020       1207.640654
    0.1040       1205.914565
    0.1060       1204.350125
    0.1080       1202.954092
    0.1100       1201.733223
    0.1120       1200.694272
    0.1140       1199.843997
    0.1160       1199.189151
    0.1180       1198.736489
    0.1200       1198.492765
    0.1220       1198.468229
    0.1240       1198.664065
    0.1260       1199.073429
    0.1280       1199.689472
    0.1300       1200.505347
    0.1320       1201.514204
    0.1340       1202.709194
    0.1360       1204.083463
    0.1380       1205.630158
    0.1400       1207.342423
    0.1420       1209.213402
    0.1440       1211.236236
    0.1460       1213.404063
    0.1480       1215.710022
    0.1500       1218.147247
    0.1520       1220.708871
    0.1540       1223.388026
    0.1560       1226.177840
    0.1580       1229.071439
    0.1600       1232.061948
    0.1620       1235.142488
    0.1640       1238.306178
    0.1660       1241.546135
    0.1680       1244.855473
    0.1700       1248.227302
    0.1720       1251.654731
    0.1740       1255.130865
    0.1760       1258.648808
    0.1780       1262.201660
    0.1800       1265.782516
    0.1820       1269.384472
    0.1840       1273.000617
    0.1860       1276.624041
    0.1880       1280.247827
    0.1900       1283.865057
    0.1920       1287.468810
    0.1940       1291.052161
    0.1960       1294.608182
    0.1980       1298.129942
    0.2000       1301.610506
    0.2020       1305.141186
    0.2040       1308.814546
    0.2060       1312.625527
    0.2080       1316.569064
    0.2100       1320.640093
    0.2120       1324.833542
    0.2140       1329.144339
    0.2160       1333.567407
    0.2180       1338.097666
    0.2200       1342.730034
    0.2220       1347.459424
    0.2240       1352.280746
    0.2260       1357.188907
    0.2280       1362.178811
    0.2300       1367.245358
    0.2320       1372.383446
    0.2340       1377.587970
    0.2360       1382.853819
    0.2380       1388.175881
    0.2400       1393.549042
    0.2420       1398.968183
    0.2440       1404.428183
    0.2460       1409.923917
    0.2480       1415.450258
    0.2500       1421.002076
    0.2520       1426.574237
    0.2540       1432.161606
    0.2560       1437.759045
    0.2580       1443.361412
    0.2600       1448.963562
    0.2620       1454.560351
    0.2640       1460.146628
    0.2660       1465.717242
    0.2680       1471.267039
    0.2700       1476.790864
    0.2720       1482.283558
    0.2740       1487.739959
    0.2760       1493.154906
    0.2780       1498.523234
    0.2800       1503.839777
    0.2820       1509.312384
    0.2840       1515.127855
    0.2860       1521.249443
    0.2880       1527.640399
    0.2900       1534.263973
    0.2920       1541.083413
    0.2940       1548.061966
    0.2960       1555.162877
    0.2980       1562.349391
    0.3000       1569.584751
    0.3020       1576.832199
    0.3040       1584.054976
    0.3060       1591.216323
    0.3080       1598.279480
    0.3100       1605.207685
    0.3120       1611.964176
    0.3140       1618.512193
    0.3160       1624.814971
    0.3180       1630.835750
    0.3200       1636.537765
    0.3220       1641.741485
    0.3240       1646.553032
    0.3260       1650.935760
    0.3280       1654.853022
    0.3300       1658.268171
    0.3320       1661.144561
    0.3340       1663.445546
    0.3360       1665.134478
    0.3380       1666.174712
    0.3400       1666.529600
    0.3420       1665.952325
    0.3440       1664.271862
    0.3460       1661.565254
    0.3480       1657.909544
    0.3500       1653.381774
    0.3520       1648.058988
    0.3540       1642.018228
    0.3560       1635.336537
    0.3580       1628.090958
    0.3600       1620.358534
    0.3620       1612.216308
    0.3640       1603.741322
    0.3660       1595.010619
    0.3680       1586.101242
    0.3700       1577.090235
    0.3720       1568.054639
    0.3740       1559.071498
    0.3760       1550.217855
    0.3780       1541.570752
    0.3800       1533.207232
    0.3820       1524.694364
    0.3840       1515.578155
    0.3860       1505.904057
    0.3880       1495.717522
    0.3900       1485.064001
    0.3920       1473.493035
    0.3940       1461.546529
    0.3960       1449.270475
    0.3980       1436.710867
    0.4000       1423.913693
    0.4020       1410.924941
    0.4040       1397.790598
    0.4060       1384.556644
    0.4080       1371.269056
    0.4100       1357.973808
    0.4120       1344.716866
    0.4140       1331.544192
    0.4160       1318.501741
    0.4180       1305.635461
    0.4200       1292.991294
    0.4220       1280.615171
    0.4240       1268.553017
    0.4260       1256.850748
    0.4280       1245.554268
    0.4300       1234.709474
    0.4320       1224.362250
    0.4340       1214.558470
    0.4360       1205.343997
    0.4380       1196.764681
    0.4400       1188.866361
    0.4420       1181.280904
    0.4440       1173.625239
    0.4460       1165.922773
    0.4480       1158.196901
    0.4500       1150.471003
    0.4520       1142.768445
    0.4540       1135.112575
    0.4560       1127.526730
    0.4580       1120.034229
    0.4600       1112.658374
    0.4620       1105.422454
    0.4640       1098.349738
    0.4660       1091.463482
    0.4680       1084.786922
    0.4700       1078.343279
    0.4720       1072.155755
    0.4740       1066.247536
    0.4760       1060.641791
    0.4780       1055.361669
    0.4800       1050.430304
    0.4820       1045.870809
    0.4840       1041.706283
    0.4860       1037.959805
    0.4880       1034.654435
